,-1,-0.5,-0.001,0,0.5,1,
0,7000,7000,7000,3500,3500,3500,
10,7000,7000,7000,3500,3500,3500,
20,7000,7000,7000,3500,3500,3500,
30,7000,7000,7000,3500,3500,3500,
40,7000,7000,7000,3500,3500,3500,
50,7000,7000,7000,3500,3500,3500,
60,7000,7000,7000,3500,3500,3500,
70,7000,7000,7000,3500,3500,3500,
80,7000,7000,7000,3500,3500,3500,
90,7000,7000,7000,3500,3500,3500,
100,7000,7000,7000,3500,3500,3500,
-1,7000,7000,7000,3500,3500,3500,
-0.5,7000,7000,7000,3500,3500,3500,
