,-1,-0.5,-0.001,0.01,0.1,1,
10,623,623,623,643,643,643,
-2,643,643,643,623,623,623,
-1,643,643,643,623,623,623,
0,1170,1170,1170,1170,1170,1170,
50,623,623,623,643,643,643,
100,623,623,623,643,643,643,
1000,623,623,623,643,643,643,
