,-1,-0.5,-0.001,0.01,0.1,1,
10,7.53036232799,7.53036232799,7.53036232799,6.97722185648,6.97722185648,6.97722185648,
-2,6.97722185648,6.97722185648,6.97722185648,7.53036232799,7.53036232799,7.53036232799,
-1,6.97722185648,6.97722185648,6.97722185648,7.53036232799,7.53036232799,7.53036232799,
0,7.58690909091,7.58690909091,7.58690909091,7.58690909091,7.58690909091,7.58690909091,
50,7.53036232799,7.53036232799,7.53036232799,6.97722185648,6.97722185648,6.97722185648,
100,7.53036232799,7.53036232799,7.53036232799,6.97722185648,6.97722185648,6.97722185648,
1000,7.53036232799,7.53036232799,7.53036232799,6.97722185648,6.97722185648,6.97722185648,
