,-1,-0.5,-0.001,0.01,0.1,1,
10,5381,5381,5381,5689,5689,5689,
-2,5689,5689,5689,5381,5381,5381,
-1,5689,5689,5689,5381,5381,5381,
0,10000,10000,10000,10000,10000,10000,
50,5381,5381,5381,5689,5689,5689,
100,5381,5381,5381,5689,5689,5689,
1000,5381,5381,5381,5689,5689,5689,
